city_id,city
401,Wauchula
402,Chino Hills
403,Jonestown
404,Maiden
405,Alliance
406,Schererville
407,Bossier City
408,Essex Junction
409,Pullman
410,Martinez
411,Idaho Falls
412,Shinnston
413,Fitzgerald
414,Waukegan
415,Spotsylvania
416,Encino
417,Walla Walla
418,East Greenwich
419,Bethalto
420,Cordova
421,Flomaton
422,Alto
423,Kingston
424,Annandale
425,Seneca Falls
426,Kenosha
427,Detroit
428,Frostburg
429,Glenn Dale
430,Keystone Heights
431,Ravenswood
432,Newaygo
433,Buckeye
434,Secaucus
435,Seabrook
436,Watsonville
437,Hortonville
438,Williamson
439,Goose Creek
440,Fosston
441,Sutton
442,Clyde
443,South Lake Tahoe
444,Somerset
445,Advance
446,Sun Valley
447,Wildomar
448,Roswell
449,North Royalton
450,Weedsport
451,Hazelwood
452,Iowa
453,Canby
454,Duncan
455,LaGrange
456,Sumner
457,Mena
458,Little Chute
459,Rice
460,Wauseon
461,Hot Springs National Park
462,Canandaigua
463,North Little Rock
464,Torrance
465,Pocola
466,Winter Park
467,West Salem
468,Easton
469,Gonzales
470,Chocowinity
471,Phenix City
472,Ballston Spa
473,Huntington Beach
474,Waianae
475,Uniontown
476,Mechanicsville
477,Westwego
478,Flint
479,Rocky Ford
480,Dickinson
481,Adrian
482,Park Hills
483,Dillsburg
484,Frackville
485,Alhambra
486,Mount Holly
487,Cos Cob
488,Superior
489,Hammond
490,Prattville
491,North Arlington
492,Eldon
493,Wheat Ridge
494,Peyton
495,Barnesville
496,Weslaco
497,Canyonville
498,Mableton
499,Farmerville
500,Needham Heights
501,Perryville
502,Elyria
503,Mosinee
504,Mustang
505,Elkin
506,Seymour
507,Libby
508,Estero
509,Alturas
510,Lombard
511,Boaz
512,Monmouth Junction
513,Moorhead
514,Potomac
515,Agoura Hills
516,Parlier
517,Belvidere
518,Kewanee
519,Ridge
520,Crisfield
521,Port Saint Lucie
522,Brookfield
523,Turners Falls
524,Jennings
525,North Tonawanda
526,Boynton Beach
527,Jenison
528,Belgium
529,Christiansburg
530,Corpus Christi
531,Yakima
532,Montevallo
533,Pulaski
534,Middleton
535,Indio
536,Haysville
537,Tahlequah
538,Simpsonville
539,San Jose
540,Hill City
541,Elizabeth
542,Littlestown
543,Demopolis
544,Lemoore
545,Dyer
546,Conneaut
547,South Sioux City
548,Pickens
549,Greenwood
550,North Brunswick
551,Evergreen Park
552,Berthoud
553,West Lafayette
554,San Francisco
555,Agawam
556,Brick
557,Hickory
558,Baldwin
559,Newberg
560,Jacksonville
561,Rathdrum
562,North Versailles
563,Presque Isle
564,Mount Laurel
565,Gig Harbor
566,Lenoir City
567,Brawley
568,Port Angeles
569,Avondale Estates
570,West Linn
571,Arcade
572,Holly Springs
573,London
574,Beverly
575,Milton
576,Pineville
577,Clovis
578,Levelland
579,Salt Lake City
580,Keego Harbor
581,Williamsburg
582,Leadville
583,Manasquan
584,Devers
585,Molalla
586,Wapakoneta
587,Pismo Beach
588,DeKalb
589,Sanger
590,Placerville
591,Cedar Park
592,Knightstown
593,Polson
594,Portage
595,Leesville
596,White Lake
597,Natchitoches
598,Fairview Heights
599,Succasunna
600,Fountain Valley
601,North Adams
602,Fort Belvoir
603,North Lewisburg
604,West Palm Beach
605,Buna
606,Fort Bragg
607,Parrish
608,Sheboygan Falls
609,Poway
610,Bluffton
611,Antigo
612,Chicago
613,East Petersburg
614,Saint Pauls
615,Grenada
616,Bangor
617,Los Alamos
618,Laguna Beach
619,Franklinton
620,Seattle
621,Westerville
622,Clarkston
623,Lewis Center
624,Englishtown
625,Downey
626,Pettus
627,Anaheim
628,Fort Payne
629,Melbourne
630,San Rafael
631,South El Monte
632,Rochester
633,Hagerstown
634,Fox River Grove
635,Mora
636,Dundalk
637,Blythe
638,Rosendale
639,Fort Madison
640,Blue Ridge
641,Lakeland
642,Guilford
643,Camden
644,Richton Park
645,Sheboygan
646,Vandalia
647,Huntley
648,Arkadelphia
649,Sugar Land
650,Maple Heights
651,Rosamond
652,Dunlap
653,Valdosta
654,Saint James
655,Anna
656,Hixson
657,The Dalles
658,Coal City
659,Graham
660,Yucaipa
661,Kingman
662,Palm Bay
663,Iowa City
664,Valentine
665,Lemoyne
666,Berwick
667,Wilmer
668,West Memphis
669,Carbondale
670,Clifton
671,Melrose Park
672,Whitefish
673,Nebraska City
674,Hennessey
675,Cobleskill
676,Claremont
677,Okmulgee
678,Mechanicsburg
679,Sunnyvale
680,Hawkinsville
681,Pompano Beach
682,Seagoville
683,San Marcos
684,Mandan
685,Dorchester
686,Albuquerque
687,Windham
688,Amarillo
689,Fairbanks
690,Montgomery Village
691,Brownwood
692,Wynne
693,Moose Lake
694,Elmwood Park
695,Somers Point
696,Port Orchard
697,Blanchester
698,Sinton
699,Roseburg
700,Hinckley
701,Cedar Hill
702,Lincolnton
703,Bristow
704,Viroqua
705,Capitol Heights
706,Jupiter
707,Berwyn
708,Mason
709,Rowlett
710,Reese
711,Sicklerville
712,Rupert
713,Forest Park
714,Spencerville
715,Trexlertown
716,Newburgh
717,Citronelle
718,Pearisburg
719,Apache Junction
720,Salisbury
721,Port Richey
722,Pontotoc
723,Bluefield
724,Winterville
725,Cloudcroft
726,Solon
727,Nevada
728,South Burlington
729,Horse Cave
730,Ridgeland
731,Seville
732,Maysville
733,Centerville
734,Cornelia
735,Pleasant Prairie
736,East Syracuse
737,Davenport
738,Whitehouse
739,Solvang
740,Bedford
741,Schofield
742,Antwerp
743,Missouri City
744,Kearny
745,Salida
746,Sedona
747,Palatine
748,Big Spring
749,Post Falls
750,Spiro
751,Dana Point
752,Marina del Rey
753,McHenry
754,Naples
755,Goleta
756,Pinson
757,Woonsocket
758,Falmouth
759,Sayre
760,Saugatuck
761,Charles Town
762,Ionia
763,Ruidoso
764,Sallisaw
765,Ashville
766,Tooele
767,Vancouver
768,Hopkinsville
769,Wise
770,Prineville
771,Kadoka
772,Flagler
773,Delmar
